prijs;discipline;jaar;laureaat;motivering
Turing Award;informatica;1976;Michael O. Rabin (Isr), Dana S. Scott (VS);"for their joint paper ""Finite Automata and Their Decision Problem,"" which introduced the idea of nondeterministic machines, which has proved to be an enormously valuable concept. Their (Scott & Rabin) classic paper has been a continuous source of inspiration for subsequent work in this field"
Nobelprijs;literatuur;1976;Saul Bellow (Can);for the human understanding and subtle analysis of contemporary culture that are combined in his work
Nobelprijs;natuurkunde;1976;Burton Richter (VS), Samuel Chao Chung Ting (VS) ;voor hun pioniersverrichtingen bij de ontdekking van een zwaar elementair deeltje van een nieuw type
Nobelprijs;scheikunde;1976;William Nunn Lipscomb (VS) ;voor zijn studie naar de structuur van boranen
Nobelprijs;vrede;1976;Betty Williams (GB), Mairead Corrigan (GB);oprichters van de Noord-Ierse Vredesbeweging (de latere Community of Peace People)
Nobelprijs;economie;1977;Bertil Ohlin (Zwe), James Meade (GB);for their pathbreaking contribution to the theory of international trade and international capital movements
Nobelprijs;geneeskunde;1977;Roger Guillemin (Fra) Andrew Wiktor Schally (Pol) ;voor onderzoek aan peptidehormonen die geproduceerd worden in de hersenen
Nobelprijs;geneeskunde;1977;Rosalyn Yalow (VS) ;voor het bedenken van de Yalow-Berson methode voor het meten van minuscule hoeveelheden peptidehormonen met behulp van antilichamen
Turing Award;informatica;1977;John Backus (VS) ;for profound, influential, and lasting contributions to the design of practical high-level programming systems, notably through his work on FORTRAN, and for seminal publication of formal procedures for the specification of programming languages
Nobelprijs;literatuur;1977;Vicente Aleixandre (Spa);for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars
Nobelprijs;natuurkunde;1977;Philip Warren Anderson (VS), Nevill Francis Mott (GB), John Hasbrouck van Vleck (VS) ;voor hun fundamentele theoretische onderzoek naar de elektronische structuur van magnetische en ongeordende systemen
Nobelprijs;scheikunde;1977;Ilya Prigogine (Bel) ;voor zijn bijdrage aan de niet-evenwicht thermodynamica
Nobelprijs;vrede;1977;Amnesty International (GB);voor hun campagnes tegen foltering
Nobelprijs;economie;1978;Herbert Simon (VS);for his pioneering research into the decision-making process within economic organizations
Nobelprijs;geneeskunde;1978;Werner Arber (Zwi), Daniel Nathans (VS), Hamilton O. Smith (VS) ;voor de ontdekking van restrictie-enzymen, welke een instrument zijn geworden in de moleculaire biologie
Turing Award;informatica;1978;Robert W. Floyd (VS) ;for having a clear influence on methodologies for the creation of efficient and reliable software, and for helping to found the following important subfields of computer science: the theory of parsing, the semantics of programming languages, automatic program verification, automatic program synthesis, and analysis of algorithms
Nobelprijs;literatuur;1978;Isaac Bashevis Singer (VS);for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life
Nobelprijs;natuurkunde;1978;Pyotr Leonidovich Kapitsa (Rus);voor zijn fundamentele uitvindingen en ontdekkingen op het gebied van de lagetemperatuurfysica
Nobelprijs;natuurkunde;1978;Arno Allan Penzias (VS), Robert Woodrow Wilson (VS) ;voor hun ontdekking van de kosmische achtergrondstraling met microgolflengte
Nobelprijs;scheikunde;1978;Peter Dennis Mitchell (GB) ;voor zijn formulering van de chemiosmotische theorie
Nobelprijs;vrede;1978;Menachem Begin (Isr), Mohamed Anwar Al-Sadat (Egy);voor succesvolle vredesonderhandelingen tussen Egypte en Israël
Nobelprijs;economie;1979;Theodore Schultz (VS), Arthur Lewis (SLa);for their pioneering research into economic development research with particular consideration of the problems of developing countries
Nobelprijs;geneeskunde;1979;Allan M. Cormack (Z-Afr), Godfrey N. Hounsfield (GB) ;voor het ontwikkelen van de computertomografie
Turing Award;informatica;1979;Kenneth E. Iverson (Can) ;for his pioneering effort in programming languages and mathematical notation resulting in what the computing field now knows as APL, for his contributions to the implementation of interactive systems, to educational uses of APL, and to programming language theory and practice
Nobelprijs;literatuur;1979;Odìsseas Elìtis (Gri);for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness
Nobelprijs;natuurkunde;1979;Sheldon Lee Glashow (VS), Abdus Salam (Pak), Steven Weinberg (VS) ;voor hun bijdragen aan de geünificeerde theorie van de zwakke kernkracht en het elektromagnetisme, waaronder de voorspelling van de zwakke neutrale stroom
Nobelprijs;scheikunde;1979;Herbert Charles Brown (VS), Georg Wittig (Dui) ;voor hun ontwikkeling van het gebruik van boor- en fosforbevattende samenstellingen als reagenten in organische syntheses
Nobelprijs;vrede;1979;Moeder Teresa (Ind);voor het onder de aandacht brengen van armoede en haar dienstverlening aan de mensheid
Nobelprijs;economie;1980;Lawrence Klein (VS);for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies
Nobelprijs;geneeskunde;1980;Baruj Benacerraf (Ven), Jean Dausset (Fra), George D. Snell (VS) ;voor de ontdekking van de hoofd-histocompabiliteitscomplex-genen, die coderen voor moleculen aan het celoppervlak, en die belangrijk zijn voor het herkenningsvermogen voor lichaamseigen en niet-eigen stoffen van het immuunsysteem
Turing Award;informatica;1980;C. Antony R. Hoare (GB) ;for his fundamental contributions to the definition and design of programming languages
Nobelprijs;literatuur;1980;Czeslaw Milosz (Pol/VS);who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts
Nobelprijs;natuurkunde;1980;James Watson Cronin (VS), Val Logsdon Fitch (VS) ;voor de ontdekking van de doorbreking van fundamentele symmetrieprincipes bij het verval van neutrale Kaonen
Nobelprijs;scheikunde;1980;Paul Berg (VS);voor zijn fundamentele studie naar de biochemie van nucle‹nezuren, in het bijzonder recombinant DNA
Nobelprijs;scheikunde;1980;Walter Gilbert (VS), Frederick Sanger (GB) ;voor hun bijdragen aan de bepaling van basenvolgordes in nucle‹nezuren
Nobelprijs;vrede;1980;Adolfo Perez Esquivel (Arg);mensenrechtenactivist
Nobelprijs;economie;1981;James Tobin (VS);for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices
Nobelprijs;geneeskunde;1981;Roger W. Sperry (VS) ;voor onderzoek aan de hersenhelften
Nobelprijs;geneeskunde;1981;David H. Hubel (VS), Torsten N. Wiesel (Zwe) ;voor onderzoek aan het verwerken van visuele data in de hersenen
Turing Award;informatica;1981;Edgar F. Codd (GB) ;for his fundamental and continuing contributions to the theory and practice of database management systems, esp. relational databases
Nobelprijs;literatuur;1981;Elias Canetti (GB);for writings marked by a broad outlook, a wealth of ideas and artistic power
Nobelprijs;natuurkunde;1981;Manne Börje Siegbahn (Zwe) ;voor zijn bijdrage aan de ontwikkeling van de hoge-resolutie elektronenspectroscopie
Nobelprijs;natuurkunde;1981;Nicolaas Bloembergen (Ned/VS), Arthur Leonard Schawlow (VS);voor hun bijdrage aan de ontwikkeling van de laserspectroscopie
Nobelprijs;scheikunde;1981;Kenichi Fukui (Jap), Roald Hoffmann (VS) ;voor hun theorieën op het gebied van het verloop van chemische reacties
Nobelprijs;vrede;1981;Het Bureau van de Hoge Commissaris voor de Vluchtelingen te Genève (VN);
Nobelprijs;economie;1982;George Stigler (VS);for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation
Nobelprijs;geneeskunde;1982;Sune Bergström (Zwe), Bengt I. Samuelsson (Zwe), John R. Vane (GB) ;voor de ontdekking van prostaglandinen
Turing Award;informatica;1982;Stephen A. Cook (VS) ;for his advancement of our understanding of the complexity of computation in a significant and profound way
Nobelprijs;literatuur;1982;Gabriel Garc¡a M rquez (Col);for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts
Nobelprijs;natuurkunde;1982;Kenneth Geddes Wilson (VS) ;voor zijn theorie voor kritische fenomenen samenhangend met faseovergangen
Nobelprijs;scheikunde;1982;Aaron Klug (GB) ;voor zijn ontwikkeling van kristallografische elektronenmicroscopie
Nobelprijs;vrede;1982;Alva Myrdal (Zwe), Alfonso Garc¡a Robles (Mex);afgevaardigden bij de algemene vergadering voor ontwapening (Verenigde Naties)
Nobelprijs;economie;1983;Gérard Debreu (VS);for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium
Nobelprijs;geneeskunde;1983;Barbara McClintock (VS) ;voor de ontdekking van mobiele genetische elementen of transposonen in ma‹s
Turing Award;informatica;1983;Ken Thompson (VS), Dennis M. Ritchie (VS) ;for their development of generic operating systems theory and specifically for the implementation of the UNIX operating system
Nobelprijs;literatuur;1983;William Golding (GB);for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today
Nobelprijs;natuurkunde;1983;Subramanyan Chandrasekhar (Ind);voor zijn theoretische onderzoek van de fysische processen die van belang zijn voor de structuur en evolutie van de sterren
Nobelprijs;natuurkunde;1983;William Alfred Fowler (VS) ;voor zijn theoretische en experimentele onderzoek naar de kernreacties die van belang zijn voor het vormen van de chemische elementen in het heelal
Nobelprijs;scheikunde;1983;Henry Taube (VS) ;voor zijn verrichtingen op het gebied van mechanismes van elekronenoverdrachtsreacties
Nobelprijs;vrede;1983;Lech Walesa (Pol);oprichter van de vakbond Solidarnosc en mensenrechtenactivist
Nobelprijs;economie;1984;Richard Stone (VS);for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis
Nobelprijs;geneeskunde;1984;Niels Kaj Jerne (Den), Georges J.F. Köhler (Dui), César Milstein (Arg) ;voor onderzoek aan het immuunsysteem en de productie van monoklonale antilichamen
Turing Award;informatica;1984;Niklaus Wirth (Zwi) ;for developing a sequence of innovative computer languages, EULER, ALGOL-W, MODULA and PASCAL
Nobelprijs;literatuur;1984;Jaroslav Seifert (Tsj);for his poetry which endowed with freshness, and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man
Nobelprijs;natuurkunde;1984;Carlo Rubbia (Ita), Simon van der Meer (Ned) ;voor hun beslissende bijdragen aan het grote project dat leidde tot de ontdekking van de velddeeltjes (het W-boson en het Z-boson) die verantwoordelijk zijn voor het overbrengen van de zwakke kernkracht
Nobelprijs;scheikunde;1984;Robert Bruce Merrifield (VS) ;voor zijn ontwikkeling van de methodologie voor chemische syntheses op een vaste matrix
Nobelprijs;vrede;1984;Bisschop Desmond Mpilo Tutu (Z-Afr);voor zijn ijveren tegen apartheid
Nobelprijs;economie;1985;Franco Modigliani (Ita);for his pioneering analyses of saving and of financial markets
Nobelprijs;geneeskunde;1985;Michael S. Brown (VS), Joseph L. Goldstein (VS) ;voor het beschrijven van de regulatie van het cholesterolmetabolisme
Turing Award;informatica;1985;Richard M. Karp (VS) ;for his continuing contributions to the theory of algorithms including the development of efficient algorithms for network flow and other combinatorial optimization problems, the identification of polynomial-time computability with the intuitive notion of algorithmic efficiency, and, most notably, contributions to the theory of NP-completeness
Nobelprijs;literatuur;1985;Claude Simon (Fra);who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition
Nobelprijs;natuurkunde;1985;Klaus von Klitzing (Dui) ;voor zijn ontdekking van het kwantum Hall-effect
Nobelprijs;scheikunde;1985;Herbert Aaron Hauptman (VS), Jerome Karle (VS) ;voor hun ontwikkeling van directe methodes voor de bepaling van kristalstructuren
Nobelprijs;vrede;1985;International Physicians for the Prevention of Nuclear War (VS);voor het verspreiden van betrouwbare informatie en het bewustmaken van de catastrofale gevolgen van nucleaire oorlogsvoering
Nobelprijs;economie;1986;James M. Buchanan (VS);for his development of the contractual and constitutional bases for the theory of economic and political decision-making
Nobelprijs;geneeskunde;1986;Stanley Cohen (VS), Rita Levi-Montalcini (Ita) ;voor het ontdekken van groeifactoren
Turing Award;informatica;1986;John Hopcroft (VS), Robert Tarjan (VS) ;for fundamental achievements in the design and analysis of algorithms and data structures
Nobelprijs;literatuur;1986;Wole Soyinka (Nig);in a wide cultural perspective and with poetic overtones fashions the drama of existence
Nobelprijs;natuurkunde;1986;Ernst Ruska (Dui);voor zijn fundamentele verrichtingen in de elektronoptica, en de ontwikkeling van de eerste elektronenmicroscoop
Nobelprijs;natuurkunde;1986;Gerd Binnig (Dui), Heinrich Rohrer (Zwi) ;voor hun ontwerp van de scanning tunneling microscoop
Nobelprijs;scheikunde;1986;Dudley Robert Herschbach (VS), Yuan Tseh Lee (VS), John Charles Polanyi (Can) ;voor hun bijdragen op het gebied van de dynamica van elementaire chemische processen
Nobelprijs;vrede;1986;Elie Wiesel (VS);voor het brengen van zijn vredesboodschap
Nobelprijs;economie;1987;Robert Solow (VS);for his contributions to the theory of economic growth
Nobelprijs;geneeskunde;1987;Susumu Tonegawa (Jap) ;voor de ontdekking hoe de grote diversiteit aan antilichamen genetisch wordt geproduceerd
Turing Award;informatica;1987;John Cocke (VS) ;for significant contributions in the design and theory of compilers, the architecture of large systems and the development of reduced instruction set computers (RISC)
Nobelprijs;literatuur;1987;Joseph Brodsky (Rus/VS);for an all-embracing authorship, imbued with clarity of thought and poetic intensity
Nobelprijs;natuurkunde;1987;Johannes Georg Bednorz (Dui), Karl Alexander Müller (Zwi) ;voor hun belangrijke doorbraak bij de ontdekking van supergeleiding in keramische materialen
Nobelprijs;scheikunde;1987;Donald James Cram (VS), Jean-Marie Lehn (Fra), Charles John Pedersen (VS) ;voor hun ontwikkeling en gebruik van moleculen met structuurspecifieke interacties met hoge selectiviteit
Nobelprijs;vrede;1987;Oscar Arias Sanchez (CRi);initiatiefnemer van vredesonderhandelingen in Centraal-Amerika
Nobelprijs;economie;1988;Maurice Allais (Fra);for his pioneering contributions to the theory of markets and efficient utilization of resources
Nobelprijs;geneeskunde;1988;James W. Black (GB), Gertrude B. Elion (VS), George H. Hitchings (VS) ;voor hun ontdekkingen van belangrijke principes voor de Farmacologie
Turing Award;informatica;1988;Ivan Sutherland (VS) ;for his pioneering and visionary contributions to computer graphics, starting with Sketchpad, and continuing after
Nobelprijs;literatuur;1988;Naguib Mahfouz (Egy);who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind
Nobelprijs;natuurkunde;1988;Leon Max Lederman (VS), Melvin Schwartz (VS), Jack Steinberger (VS) ;voor de neutrino straalmethode en de demonstratie van de doubletstructuur van de leptonen door de ontdekking van het muon-neutrino
Nobelprijs;scheikunde;1988;Johann Deisenhofer (Dui), Robert Huber (Dui), Hartmut Michel (Dui) ;voor hun bepaling van de driedimensionale structuur van een fotosynthetisch reactiecentrum
Nobelprijs;vrede;1988;VN Vredeskorps (VN);voor hun deelname in verschillende conflicten sinds 1956. Op het ogenblik dat de prijs werd uitgereikt, hadden 736 uit verschillende landen het leven gelaten bij vredesmissies
Nobelprijs;economie;1989;Trygve Haavelmo (Noo);for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures
Nobelprijs;geneeskunde;1989;J. Michael Bishop (VS), Harold E. Varmus (VS) ;voor de ontdekking van de cellulaire oorsprong van retrovirale oncogenen
Turing Award;informatica;1989;William Morton Kahan (Can) ;"for his fundamental contributions to numerical analysis. One of the foremost experts on floating-point computations. Kahan has dedicated himself to ""making the world safe for numerical computations"
Nobelprijs;literatuur;1989;Camilo José Cela (Spa);for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability
Nobelprijs;natuurkunde;1989;Norman Foster Ramsey (VS);voor zijn uitvinding van de methode met de gescheiden oscillerende velden en het gebruik daarvan bij de waterstofmaser en andere atoomklokken
Nobelprijs;natuurkunde;1989;Hans Georg Dehmelt (VS), Wolfgang Paul (Dui) ;voor hun ontwikkeling van de ionenvaltechniek
Nobelprijs;scheikunde;1989;Sidney Altman (Can/VS), Thomas Robert Cech (VS) ;voor hun ontdekking van katalytische eigenschappen van RNA
Nobelprijs;vrede;1989;Tenzin Gyatso (Tibet);voor zijn volhardend verzet tegen het gebruik van geweld in de strijd van zijn volk om hun vrijheid te herwinnen
Nobelprijs;economie;1990;Harry Markowitz (VS), Merton Miller (VS), William Forsyth Sharpe (VS);for their pioneering work in the theory of financial economics
Nobelprijs;geneeskunde;1990;Joseph E. Murray (VS), Edward Donnall Thomas (VS) ;voor onderzoek aan orgaan- en celtransplantatie
Turing Award;informatica;1990;Fernando J. Corbat¢ (VS) ;for his pioneering work organizing the concepts and leading the development of the general-purpose, large-scale, time-sharing and resource-sharing computer systems, CTSS and Multics
Nobelprijs;literatuur;1990;Octavio Paz (Mex);for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity
Nobelprijs;natuurkunde;1990;Jerome Isaac Friedman (VS), Henry Way Kendall (VS), Richard Edward Taylor (VS) ;voor hun pioniersonderzoek naar diepe niet-elastische verstrooiing van elektronen op protonen en gebonden neutronen, die van essentieel belang waren voor de ontwikkeling van het quarkmodel in de elementaire deeltjesfysica
Nobelprijs;scheikunde;1990;Elias James Corey (VS) ;voor zijn ontwikkeling van de theorie en methodologie van organische syntheses
Nobelprijs;vrede;1990;Michail Gorbatsjov (Rus);voor zijn inspanningen ter beëindiging van de Koude oorlog
Nobelprijs;economie;1991;Ronald Coase (GB);for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy
Nobelprijs;geneeskunde;1991;Erwin Neher (Dui), Bert Sakmann (Dui) ;voor het ontwikkelen van technieken die aantonen dat er ionkanalen bestaan in het celmembraan, en welke het mogelijk maken om hun eigenschappen te bestuderen
Turing Award;informatica;1991;Robin Milner (GB) ;"for three distinct and complete achievements: 1) LCF, the mechanization of Scott's Logic of Computable Functions, probably the first theoretically based yet practical tool for machine assisted proof construction; 2) ML, the first language to include polymorphic type inference together with a type-safe exception-handling mechanism; 3) CCS, a general theory of concurrency. In addition, he formulated and strongly advanced full abstraction, the study of the relationship between operational and denotational semantics"
Nobelprijs;literatuur;1991;Nadine Gordimer (Z-Afr);who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity
Nobelprijs;natuurkunde;1991;Pierre-Gilles de Gennes (Fra) ;voor zijn ontdekking dat methoden die waren ontwikkeld voor het bestuderen van ordefenomenen in eenvoudige systemen kunnen worden gegeneraliseerd naar meer complexe vormen van materie, met name vloeibare kristallen en polymeren
Nobelprijs;scheikunde;1991;Richard Robert Ernst (Zwi) ;voor zijn bijdragen aan de ontwikkeling van hoger resolutie NMR-spectroscopie
Nobelprijs;vrede;1991;Aung San Suu Kyi (Bir);oppositieleidster en strijdster voor de mensenrechten
Nobelprijs;economie;1992;Gary Becker (VS);for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including non-market behaviour
Nobelprijs;geneeskunde;1992;Edmond H. Fischer (Zwi), Edwin Krebs (VS) ;voor hun ontdekkingen over de reversibele fosforylering van eiwitten als biologisch regelmechanisme
Turing Award;informatica;1992;Butler W. Lampson (VS) ;for contributions to the development of distributed, personal computing environments and the technology for their implementation: workstations, networks, operating systems, programming systems, displays, security and document publishing
Nobelprijs;literatuur;1992;Derek Walcott (SLa);for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment
Nobelprijs;natuurkunde;1992;Georges Charpak (Fra) ;voor zijn uitvinding en ontwikkeling van deeltjesdetectors, met name de meerdradige proportionele kamer
Nobelprijs;scheikunde;1992;Rudolph Arthur Marcus (VS) ;voor zijn bijdragen aan de theore van elektronenoverdractsreacties in chemische systemen
Nobelprijs;vrede;1992;Rigoberta Menchu Tum (Gua);voor haar strijd voor de mensenrechten, in het bijzonder voor inheemse volken
Nobelprijs;economie;1993;Robert Fogel (VS), Douglass North (VS);for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change
Nobelprijs;geneeskunde;1993;Richard J. Roberts (GB), Phillip A. Sharp (VS) ;voor de ontdekking dat genen in eukaryoten geen doorlopende strengen zijn, maar introns bevatten, en dat het splitsen van mRNA om deze introns te verwijderen op meerdere manieren kan plaatsvinden, waarbij verschillende prote‹nen kunnen worden verkregen uit hetzelfde stuk coderend DNA
Turing Award;informatica;1993;Juris Hartmanis (Let), Richard E. Stearns (VS) ;in recognition of their seminal paper which established the foundations for the field of computational complexity theory
Nobelprijs;literatuur;1993;Toni Morrison (VS);who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality
Nobelprijs;natuurkunde;1993;Russell Alan Hulse (VS), Joseph Hooton Taylor (VS) ;voor hun ontdekking van een nieuw type pulsar, een ontdekking die nieuwe mogelijkheden heeft geopend voor de bestudering van de zwaartekracht
Nobelprijs;scheikunde;1993;Kary Banks Mullis (VS), Michael Smith (Can) ;voor hun bijdragen aan de ontwikkeling van methodes binnen de DNA-chemie
Nobelprijs;vrede;1993;Nelson Mandela (Z-Afr), Frederik Willem de Klerk (Z-Afr);voor het omvormen van Zuid-Afrika van een dictatuur tot democratisch en vrij land
Nobelprijs;economie;1994;John Harsanyi (VS), John Forbes Nash (VS), Reinhard Selten (Dui);for their pioneering analysis of equilibria in the theory of non-cooperative games
Nobelprijs;geneeskunde;1994;Alfred G. Gilman (VS), Martin Rodbell (VS) ;voor hun ontdekking van G-prote‹nen en de rol van deze eiwitten in de signaaltransductie van cellen
Turing Award;informatica;1994;Edward Feigenbaum (VS), Raj Reddy (Ind) ;for pioneering the design and construction of large scale artificial intelligence systems, demonstrating the practical importance and potential commercial impact of artificial intelligence technology
Nobelprijs;literatuur;1994;Kenzaburo Oë (Jap);who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today
Nobelprijs;natuurkunde;1994;Bertram Neville Brockhouse (Can);voor zijn pioniersbijdragen aan de ontwikkeling van neutronendiffractietechnieken bij onderzoek aan gecondenseerde materie en de ontwikkeling van de neutronenspectroscopie
Nobelprijs;natuurkunde;1994;Clifford Glenwood Shull (VS) ;voor zijn pioniersbijdragen aan de ontwikkeling van neutronendiffractietechnieken bij onderzoek aan gecondenseerde materie en de ontwikkeling van de techniek van de neutronendiffractie
Nobelprijs;scheikunde;1994;George Andrew Olah (VS) ;voor zijn bijdragen aan de carbokationchemie
Nobelprijs;vrede;1994;Yasser Arafat (Pal), Shimon Peres (Isr), Yitzhak Rabin (Isr);voor hun inspanning om vrede te brengen in het Midden-Oosten
Nobelprijs;economie;1995;Robert Lucas Jr. (VS);for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy
Nobelprijs;geneeskunde;1995;Edward B. Lewis (VS), Christiane Nüsslein-Volhard (Dui), Eric F. Wieschaus (VS) ;voor de ontdekking van de genen die betrokken zijn bij de vroege embryonale ontwikkeling van de fruitvlieg, de homeobox-genen
Turing Award;informatica;1995;Manuel Blum (Ven) ;in recognition of his contributions to the foundations of computational complexity theory and its application to cryptography and program checking
Nobelprijs;literatuur;1995;Seamus Heaney (Ier);for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past
Nobelprijs;natuurkunde;1995;Martin Lewis Perl (VS);voor experimenteel pioniersonderzoek naar leptonfysica en voor de ontdekking van het tau-lepton
Nobelprijs;natuurkunde;1995;Frederick Reines (VS) ;voor experimenteel pioniersonderzoek naar leptonfysica en voor de detectie van het neutrino (Reines)
Nobelprijs;scheikunde;1995;Paul Josef Crutzen (Ned), Mario Jose Molina (VS), Frank Sherwood Rowland (VS) ;voor hun verrichtingen op het gebied van de atmosfeerchemie, in het bijzonder het ozongat
Nobelprijs;vrede;1995;Joseph Rotblat (Pol/GB) , Pugwash Conferences on Science and World Affairs (Can);voor hun inspanningen in het gevecht tegen nucleaire wapens
Nobelprijs;economie;1996;James Mirrlees (GB), William Vickrey  (VS);for their fundamental contributions to the economic theory of incentives under asymmetric information
Nobelprijs;geneeskunde;1996;Peter C. Doherty (Aus), Rolf M. Zinkernagel (Zwi) ;voor het beschrijven hoe cel-gemedieerde immunologische afweer-moleculen worden gebruikt door witte bloedcellen om door virus ge‹nfecteerde cellen op te sporen en te vernietigen
Turing Award;informatica;1996;Amir Pnueli (Isr) ;for seminal work introducing temporal logic into computing science and for outstanding contributions to program and systems verification
Nobelprijs;literatuur;1996;Wislawa Szymborska (Pol);for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality
Nobelprijs;natuurkunde;1996;David Morris Lee (VS), Douglas Dean Osheroff (VS), Robert Coleman Richardson (VS) ;voor hun ontdekking van superflu‹diteit in helium-3
Nobelprijs;scheikunde;1996;Robert Curl (VS), Sir Harold Kroto (GB), Richard Smalley (VS) ;voor hun ontdekking van fullerenen
Nobelprijs;vrede;1996;Bisschop Carlos Felipe Ximenes Belo (O-Tim), Jose Ramos-Horta (O-Tim);voor hun inspanningen ten behoeve van een rechtvaardige en vreedzame oplossing van het conflict op Oost-Timor
Nobelprijs;economie;1997;Robert C. Merton (VS), Myron Scholes (VS);for a new method to determine the value of derivatives
Nobelprijs;geneeskunde;1997;Stanley B. Prusiner (VS) ;voor zijn ontdekking van prionen - een nieuw biologisch infectieprincipe
Turing Award;informatica;1997;Douglas Engelbart (VS) ;for an inspiring vision of the future of interactive computing and the invention of key technologies to help realize this vision
Nobelprijs;literatuur;1997;Dario Fo (Ita);who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden
Nobelprijs;natuurkunde;1997;Steven Chu (VS/Chn), Claude Cohen-Tannoudji (Fra), William Daniel Phillips (VS) ;voor de ontwikkeling van methoden om atomen af te koelen en te vangen met laserlicht
Nobelprijs;scheikunde;1997;Jens Christian Skou (Den) ;voor zijn ontdekking van het iontransportenzym Na+K+-ATPase
Nobelprijs;scheikunde;1997;Paul Delos Boyer (VS), John Ernest Walker (GB);voor hun verklaring van het enzymatische mechanisme bij de synthese van ATP
Nobelprijs;vrede;1997;Jody Williams (VS), International Campaign to Ban Landmines (VS);voor hun beijvering voor het uitbannen en verwijderen van landmijnen
Nobelprijs;economie;1998;Amartya Sen (Ind);for his contributions to welfare economics
Nobelprijs;geneeskunde;1998;Robert F. Furchgott (VS), Louis J. Ignarro (VS), Ferid Murad (VS) ;voor hun ontdekkingen met betrekking tot stikstofoxide (NO) als signaalmolecuul in het cardiovasculaire systeem
Turing Award;informatica;1998;Jim Gray (VS) ;for seminal contributions to database and transaction processing research and technical leadership in system implementation
Nobelprijs;literatuur;1998;José Saramago (Por);who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality
Nobelprijs;natuurkunde;1998;Robert Betts Laughlin (VS), Horst Ludwig Strömer (Dui), Daniel Chee Tsui (Chn/VS) ;voor hun ontdekking van een nieuwe vorm van kwantumvloeistof met excitaties die een gedeeltelijke lading dragen
Nobelprijs;scheikunde;1998;Walter Kohn (VS);voor zijn ontwikkeling van de dichtheidsfunctionele theorie
Nobelprijs;scheikunde;1998;John Anthong Pople (GB) ;voor zijn ontwikkeling van computationele methodes in de kwantumchemie (Pople)
Nobelprijs;vrede;1998;John Hume (GB), David Trimble (GB);voor hun zoeken naar een vreedzame oplossing voor het conflict in Noord-Ierland
Nobelprijs;economie;1999;Robert Mundell (Can);for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas
Nobelprijs;geneeskunde;1999;Günter Blobel (Dui) ;voor de ontdekking dat eiwitten intrinsieke signalen hebben die hun transport en plaats binnen de cel regelen
Turing Award;informatica;1999;Frederick P. Brooks Jr. (VS) ;for landmark contributions to computer architecture, operating systems, and software engineering
Nobelprijs;literatuur;1999;Günter Grass (Dui);whose frolicsome black fables portray the forgotten face of history
Nobelprijs;natuurkunde;1999;Gerardus 't Hooft (Ned), Martinus J. G. Veltman (Ned) ;voor het ophelderen van de kwantumstructuur van de elektro-zwakke interacties in de natuurkunde
Nobelprijs;scheikunde;1999;Ahmed Hassan Zewail (Egy/VS) ;voor zijn studie naar de overgangstoestanden van chemische reacties met behulp van femtoseconde spectroscopie
Nobelprijs;vrede;1999;Artsen zonder Grenzen (Bel);als herkenning voor het humanitaire pionierwerk van de organisatoe in verschillende continenten
Nobelprijs;economie;2000;James Heckman (VS);for his development of theory and methods for analyzing selective samples
Nobelprijs;economie;2000;Daniel McFadden (VS);for his development of theory and methods for analyzing discrete choice
